id,nombre,correo,ciudad,telefono
1,Marisa Varela Arnal,ymolina@muniz.org,Almería,+34713461012
2,Marcia Vega Mariño,hermenegildo09@bermudez.com,Málaga,+34 705 62 60 20
3,Juan Francisco Córdoba Gilabert,angelino55@gmail.com,Guipúzcoa,+34748 042 124
4,María Beltran Arcos,tbarral@yahoo.com,Palencia,+34731193515
5,Cosme Tejero Jara,clarisapino@gmail.com,Asturias,+34722744943
6,Javi Manzano Guzman,benitavilar@cabo.com,Tarragona,+34705 989 704
7,Sandra Piñeiro Jordán,tono90@exposito-prat.es,Córdoba,+34719 551 356
8,Ignacio Mate Bilbao,fferrando@amigo.org,Valladolid,+34 703 83 64 74
9,Fernando Morales Ojeda,wtejero@piquer-gomez.com,Cádiz,+34741246793
10,Laura Sabater Múñiz,palomaromero@gmail.com,Zamora,+34 846199517
11,Saturnina Gelabert Bayón,chelo50@pelaez.es,Zaragoza,+34 706 77 47 24
12,Ángela Múgica,barceloclara@aleman.com,Vizcaya,+34976786027
13,Inmaculada Vila Beltrán,ramiro17@yahoo.com,Zamora,+34746 79 70 59
14,Saturnina Herrera Viana,tsalinas@gmail.com,Málaga,+34872 84 98 68
15,Geraldo Manso Gabaldón,hrey@yahoo.com,Alicante,+34683732666
16,Salomón Prats Guerrero,victor-manuel20@yahoo.com,Málaga,+34 744912711
17,Maximiano Trillo Ferrer,cmoll@gmail.com,Ávila,+34 707383182
18,Raimundo Lorenzo Viña,erasmoiniguez@mariscal.net,Burgos,+34920 22 10 89
19,Ulises Diego Lucas,ariadna43@gmail.com,La Rioja,+34620 064 263
20,Consuelo Carlos,regulotur@gmail.com,Huesca,+34703516826
21,Iker Beltrán Gallego,uchaparro@yahoo.com,Melilla,+34 969 997 417
22,Calixta del Batlle,brunildasilva@yahoo.com,La Coruña,+34715 709 521
23,Isaac de Corominas,ximena18@ibarra-bauza.net,Granada,+34711085272
24,Amparo Tomás Monreal,ealmazan@gmail.com,Guadalajara,+34 748 760 542
25,Heraclio Mendizábal,andreaalcalde@cuervo.es,Salamanca,+34 964 36 66 19
26,Javi Ribas Escrivá,ignaciaplana@maza.es,Alicante,+34725031225
27,Paola Rivera Arévalo,bienvenida24@yahoo.com,Palencia,+34 727211584
28,Seve Izquierdo Rocamora,yolandaosorio@gmail.com,Guipúzcoa,+34650 02 26 35
29,Bonifacio Fonseca-Farré,juan-francisco88@yahoo.com,Ourense,+34 746 49 43 06
30,Manuela Luján Sebastián,itziarbermudez@yahoo.com,Huelva,+34667703789
31,Santiago Mayo Novoa,felixmoran@espinosa.es,Baleares,+34 714 571 877
32,Daniela del Rodriguez,itenorio@gmail.com,Castellón,+34 742 80 82 71
33,Esmeralda Calatayud-Godoy,ruben11@hotmail.com,Castellón,+34717 73 67 55
34,Alejandra Tirado Casal,kcarro@gmail.com,Ceuta,+34 619642180
35,Remedios Isabel Suarez Tomás,juan-luispelayo@hotmail.com,Navarra,+34 708 55 60 68
36,Gabino de Poza,jose-angelurena@caballero.com,Lleida,+34742 858 063
37,Vera Carrasco-Tolosa,cuencadamian@yahoo.com,Ceuta,+34 717 138 315
38,Febe Mascaró Farré,lgarmendia@yahoo.com,Guipúzcoa,+34 917 45 60 48
39,Amaya Camps Miranda,marisol35@yahoo.com,Badajoz,+34 616 437 238
40,Emiliana Teruel Carretero,baezmarisela@yahoo.com,Navarra,+34 700 80 92 89
41,Rodrigo Manjón Lorenzo,lunarufino@hotmail.com,Toledo,+34719 62 15 78
42,Georgina Ramos Hoyos,santiago58@arregui-reig.es,Málaga,+34703 546 438
43,Victoriano Anaya Ros,nico41@quintero.com,Badajoz,+34725 343 753
44,Victor Tovar,casaspalmira@hotmail.com,La Coruña,+34878 870 767
45,Candelas Neira,ysantamaria@gmail.com,Salamanca,+34 713 27 15 65
46,Jose Francisco Galván Carretero,zmorata@saavedra-chamorro.org,Cuenca,+34735726937
47,Miriam Jara Berenguer,crespofelix@yahoo.com,León,+34957 16 64 68
48,Jafet Rosselló Torrijos,andresdulce@hotmail.com,Almería,+34969 630 911
49,Tamara Miranda-Escalona,barbara74@rovira.es,Albacete,+34 816 66 57 46
50,Natalia Martorell-Roselló,haydeecalderon@gmail.com,Ciudad,+34850 66 03 55
51,María José Teófila Benito Solano,perlitavalles@hotmail.com,Barcelona,+34709 363 988
52,Vasco Juliá Montero,raquel34@bravo.es,Salamanca,+34 712381538
53,Ignacia Canet Palomares,tcases@hotmail.com,Burgos,+34702 86 77 34
54,Pedro Pi-Escalona,trillolilia@yahoo.com,Navarra,+34696 999 912
55,José Mari Cabrera,vtellez@calleja-granados.org,Córdoba,+34704 23 70 45
56,Cipriano Pintor,visitacioncasals@yahoo.com,Salamanca,+34 681 59 14 99
57,Adelia Galván Alonso,aaronenriquez@echevarria.org,Ourense,+34838 70 70 56
58,Angélica Pelayo Moraleda,olimpia64@hotmail.com,Salamanca,+34 725 97 12 84
